strain,treatment,rep,Sample.index,Sample.name,Sample.label,aid,label,monosome,monosome_norm,polysome,polysome_norm,PM_ratio,PM_ratio_norm,Vehicle_polysome,polysome_delta,protein_name,percent_poly,Vehicle_ratio,fold_diff,PM_fold_diff
yJB031,treated,rep1,1,20210623_2_yJB031_1D,yJB031-treat_rep1,eIF3b depletion,eIF3b-deplete,47.785272,0.5779368117952864,6.955631,0.08412456466009986,0.14556014246397928,0.14556014246397925,NA,NA,eIF3b,0.1270646010351711,6.877286964250849,0.02116534372065937,0.02116534372065937
yJB031,treated,rep2,3,20210623_5_yJB031_2D,yJB031-treat_rep2,eIF3b depletion,eIF3b-deplete,55.946219,0.5874138492021755,8.005722,0.08405701153213838,0.14309674796790112,0.1430967479679011,0.509501333264182,0.4254443217320436,eIF3b,0.12518340921036314,9.565426658705492,0.01495978727071926,0.01495978727071926
yJB262,treated,rep1,5,220512-yCW262-treat-rep1,yJB262-treat_rep1,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,55.482259,0.406820367868691,11.100977,0.08139725433389218,0.20008156120679943,0.20008156120679943,NA,NA,eIF4G1(G2ko),0.16672330254420198,2.3285425028570956,0.08592566421325855,0.08592566421325855
yJB262,treated,rep2,6,220512-yCW262-treat-rep2,yJB262-treat_rep2,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,70.86951,0.44114157855718183,19.051205,0.06208731543384729,0.26882089349848753,0.14074237943499443,0.4091668778075843,0.34707956237373705,eIF4G1(G2ko),0.21186669834642663,2.4032471360100733,0.1118573655911186,0.1118573655911186
yJB262,treated,rep2,6,220512-yCW262-treat-rep2,yJB262-treat_rep2,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,70.86951,0.44114157855718183,19.051205,0.06208731543384729,0.26882089349848753,0.14074237943499443,0.4091668778075843,0.34707956237373705,eIF4G1(G2ko),0.21186669834642663,2.4032471360100733,0.1118573655911186,0.1118573655911186
yHG031,treated,rep2,2,22_02_10_CW_yHG31treat,yHG031-treat,eIF4G1 depletion,eIF4G1-deplete,35.520385,0.27639365652619785,42.568168,0.33123434909676475,1.1984151635743814,1.1984151635743812,0.5205974052205524,0.18936305612378768,eIF4G1,0.5451268638567295,6.3353676921995286,0.189162685071924,0.189162685071924
yHG031,treated,rep1,1,20220218_CW_yHG31_treat,yHG031-treat,eIF4G1 depletion,eIF4G1-deplete,40.496464,0.36664676762785153,38.215895,0.34599895866847474,0.9436847375118976,0.9436847375118976,0.5054615390807928,0.1594625804123181,eIF4G1,0.4855132724455634,3.7274950247597576,0.2531686108884128,0.2531686108884128
yHG072,treated,rep1,5,20220218_CW_yHG72-treat_rep1,yHG072-mock_rep2,eIF4A1 depletion,eIF4A1-deplete,62.00833,0.4166805457526519,12.65481,0.08503717383125972,0.2040824192491557,0.2040824192491557,0.3118152063160371,0.22677803248477735,eIF4A1(A2ko),0.16949206797356767,1.4269459837746958,0.14302042373692178,0.14302042373692178
yHG072,treated,rep2,6,20220218_CW_yHG72-treat_rep2,yHG072-treat_rep2,eIF4A1 depletion,eIF4A1-deplete,33.348151,0.4064468541389354,13.113366,0.15310437591767156,0.3932261791665751,0.37668977963189265,0.4717237419346174,0.31861936601694585,eIF4A1(A2ko),0.2822414515651738,1.7319426265668982,0.22704342114729184,0.22704342114729184
yJB147,treated,rep1,2,20211026-yJB147-treat,yJB147-treat,eIF5 depletion,eIF5-deplete,50.465187,0.43298814500612426,21.144023,0.181414393584568,0.4189823570850931,0.418982357085093,0.434807352301864,0.253392958717296,eIF5,0.29526960289046617,3.572158440404108,0.11729108998807312,0.11729108998807312
yJB148,treated,rep1,4,20211026-yJB148-treat,yJB148-treat,eIF5b depletion,eIF5b-deplete,53.493806,0.3608345662825499,44.168411,0.29793149185485895,0.8256733686139288,0.8256733686139288,0.44845493769495703,0.15052344584009808,eIF5b,0.4522568948030332,3.735485722738322,0.22103507546233203,0.22103507546233203
yHG055,treated,rep1,6,20211026-yJB55-treat,yHG055-treat,eIF4B depletion,eIF4B-deplete,64.367083,0.3593238722164745,45.576406,0.25442648512796767,0.7080700860717892,0.7080700860717892,0.37689636038931146,0.1224698752613438,eIF4B,0.4145439299274921,2.745661711230562,0.25788686318331744,0.25788686318331744
yHG055,treated,rep2,6,20220419_CW_yHG55-treat,yHG055-treat,eIF4B depletion,eIF4B-deplete,64.372111,0.4058101331940822,44.605739,0.18769444268327787,0.6929357808383819,0.4625178804825738,0.480242733682256,0.29254829099897817,eIF4B,0.4093101396292917,2.884413356129289,0.2402345625552991,0.2402345625552991
yJB143,treated,rep1,3,220525-yJB143-treat-rep1,yJB143-treat_rep1,eIF2alpha depletion,eIF2alpha-deplete,44.038137999999996,0.3082330067367158,21.053862,0.14736079867136717,0.4780824747858322,0.4780824747858322,0.28512736092703833,0.13776656225567116,eIF2alpha,0.32344776623855465,1.809084776630693,0.26426759042007464,0.26426759042007464
yJB143,treated,rep2,4,220525-yJB143-treat-rep2,yJB143-treat_rep2,eIF2alpha depletion,eIF2alpha-deplete,42.295226,0.31745602347500257,21.34661,0.16022162702882176,0.5047049518070904,0.5047049518070905,0.407884968002889,0.24766334097406725,eIF2alpha,0.33541788455003085,2.341636760623161,0.2155351164169362,0.2155351164169362
yCW003,treated,rep2,2,220512-yCW004-treat,yCW004-treat,Pab1 depletion,Pab1-deplete,19.286654,0.1260059513481817,65.620689,0.42872119474783765,3.4023884599163754,3.402388459916375,0.3536642184671895,-0.07505697628064817,Pab1,0.7728505766574276,2.842207849174807,1.1970934711563084,1.1970934711563084
yJB262,treated,rep1,5,220512-yCW262-treat-rep1,yJB262-treat_rep1,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,55.482259,0.406820367868691,11.100977,0.08139725433389218,0.20008156120679943,0.20008156120679943,0.4020167464459712,0.3206194921120791,eIF4G1(G2ko),0.16672330254420198,2.3285425028570956,0.08592566421325855,0.08592566421325855
yJB262,treated,rep2,6,220512-yCW262-treat-rep2,yJB262-treat_rep2,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,75.097817,0.4737155006291232,14.911627,0.0773428019045871,0.19856272253559645,0.16326846345933607,0.4091668778075843,0.33182407590299723,eIF4G1(G2ko),0.16566736041609142,2.4032471360100733,0.08262268143810415,0.08262268143810415
yJB262,treated,rep2,6,220512-yCW262-treat-rep2,yJB262-treat_rep2,eIF4G1 depletion,eIF4G1-deplete/eIF4G2KO,75.097817,0.4737155006291232,14.911627,0.0773428019045871,0.19856272253559645,0.16326846345933607,0.4091668778075843,0.33182407590299723,eIF4G1(G2ko),0.16566736041609142,2.4032471360100733,0.08262268143810415,0.08262268143810415
yHG038,treated,rep2,5,221109-yHG38-treat_rep2,yHG38-treat-2,eIF4E depletion,eIF4E-deplete,77.336303,0.2537609089020216,62.945113,0.2065395999834703,0.8139141717182938,0.8139141717182938,0.343005040085513,0.13646544010204273,eIF4E,0.4487059996599977,4.809434195243999,0.16923283252802696,0.16923283252802696
yJB031,treated,rep1,6,221109-yJB42-treat_rep1,yJB42-treat,eIF3b depletion,eIF3b-deplete,170.88583599999998,0.4892408690546155,18.130464,0.05190695830240385,0.1060969383091528,0.1060969383091528,0.4543142608543035,0.40240730255189966,eIF3b,0.09592010847741704,6.877286964250849,0.01542715010449037,0.01542715010449037
