Treatment,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count,Stress
15%,BioRep1,1,1,3,EtOH
15%,BioRep1,1,2,11,EtOH
15%,BioRep1,1,3,2,EtOH
15%,BioRep1,1,4,2,EtOH
15%,BioRep1,1,5,4,EtOH
15%,BioRep1,1,6,1,EtOH
15%,BioRep1,1,7,1,EtOH
15%,BioRep1,1,8,4,EtOH
15%,BioRep1,1,9,5,EtOH
15%,BioRep1,1,10,7,EtOH
15%,BioRep1,1,11,3,EtOH
15%,BioRep1,1,12,4,EtOH
15%,BioRep1,1,13,8,EtOH
15%,BioRep1,1,14,6,EtOH
15%,BioRep1,2,1,2,EtOH
15%,BioRep1,2,2,0,EtOH
15%,BioRep1,2,3,3,EtOH
15%,BioRep1,2,4,0,EtOH
15%,BioRep1,2,5,2,EtOH
15%,BioRep1,2,6,3,EtOH
15%,BioRep1,2,7,1,EtOH
15%,BioRep1,2,8,2,EtOH
15%,BioRep1,2,9,3,EtOH
15%,BioRep1,2,10,3,EtOH
15%,BioRep1,2,11,3,EtOH
15%,BioRep1,2,12,0,EtOH
15%,BioRep1,3,1,4,EtOH
15%,BioRep1,3,2,2,EtOH
15%,BioRep1,3,3,1,EtOH
15%,BioRep1,3,4,3,EtOH
15%,BioRep1,3,5,4,EtOH
15%,BioRep1,3,6,2,EtOH
15%,BioRep1,3,7,6,EtOH
15%,BioRep1,3,8,3,EtOH
15%,BioRep1,3,9,5,EtOH
15%,BioRep1,3,10,2,EtOH
15%,BioRep1,3,11,1,EtOH
15%,BioRep1,3,12,1,EtOH
15%,BioRep1,3,13,3,EtOH
15%,BioRep1,3,14,4,EtOH
15%,BioRep1,3,15,0,EtOH
15%,BioRep1,3,16,1,EtOH
15%,BioRep1,3,17,2,EtOH
15%,BioRep1,4,1,0,EtOH
15%,BioRep1,4,2,3,EtOH
15%,BioRep1,4,3,3,EtOH
15%,BioRep1,4,4,1,EtOH
15%,BioRep1,4,5,0,EtOH
15%,BioRep1,4,6,3,EtOH
15%,BioRep1,4,7,5,EtOH
15%,BioRep1,4,8,4,EtOH
15%,BioRep1,4,9,2,EtOH
15%,BioRep1,4,10,8,EtOH
15%,BioRep1,4,11,0,EtOH
15%,BioRep1,4,12,3,EtOH
15%,BioRep1,4,13,1,EtOH
15%,BioRep1,4,14,2,EtOH
15%,BioRep1,4,15,0,EtOH
15%,BioRep1,4,16,4,EtOH
15%,BioRep1,4,17,0,EtOH
15%,BioRep1,4,18,2,EtOH
15%,BioRep1,4,19,4,EtOH
15%,BioRep1,4,20,2,EtOH
15%,BioRep1,4,21,4,EtOH
15%,BioRep1,4,22,5,EtOH
15%,BioRep1,4,23,5,EtOH
15%,BioRep1,4,24,3,EtOH
15%,BioRep1,5,1,1,EtOH
15%,BioRep1,5,2,1,EtOH
15%,BioRep1,5,3,4,EtOH
15%,BioRep1,5,4,0,EtOH
15%,BioRep1,5,5,0,EtOH
15%,BioRep1,5,6,6,EtOH
15%,BioRep1,5,7,3,EtOH
15%,BioRep1,5,8,0,EtOH
15%,BioRep1,5,9,3,EtOH
15%,BioRep1,5,10,0,EtOH
15%,BioRep1,5,11,0,EtOH
15%,BioRep1,5,12,5,EtOH
15%,BioRep1,5,13,1,EtOH
15%,BioRep1,5,14,0,EtOH
15%,BioRep1,5,15,5,EtOH
15%,BioRep1,5,16,3,EtOH
15%,BioRep1,5,17,4,EtOH
15%,BioRep1,5,18,2,EtOH
15%,BioRep1,5,19,1,EtOH
15%,BioRep1,5,20,0,EtOH
15%,BioRep1,5,21,0,EtOH
15%,BioRep1,5,22,0,EtOH
15%,BioRep1,6,1,7,EtOH
15%,BioRep1,6,2,4,EtOH
15%,BioRep1,6,3,4,EtOH
15%,BioRep1,6,4,3,EtOH
15%,BioRep1,6,5,2,EtOH
15%,BioRep1,6,6,0,EtOH
15%,BioRep1,6,7,2,EtOH
15%,BioRep1,6,8,10,EtOH
15%,BioRep1,6,9,5,EtOH
15%,BioRep1,6,10,10,EtOH
15%,BioRep1,6,11,2,EtOH
15%,BioRep1,6,12,4,EtOH
15%,BioRep1,6,13,10,EtOH
15%,BioRep1,6,14,7,EtOH
15%,BioRep1,6,15,7,EtOH
15%,BioRep1,6,16,2,EtOH
15%,BioRep1,6,17,2,EtOH
15%,BioRep1,7,1,6,EtOH
15%,BioRep1,7,2,5,EtOH
15%,BioRep1,7,3,2,EtOH
15%,BioRep1,7,4,3,EtOH
15%,BioRep1,7,5,2,EtOH
15%,BioRep1,7,6,0,EtOH
15%,BioRep1,7,7,9,EtOH
15%,BioRep1,7,8,7,EtOH
15%,BioRep1,7,9,2,EtOH
15%,BioRep1,7,10,2,EtOH
15%,BioRep1,8,1,4,EtOH
15%,BioRep1,8,2,7,EtOH
15%,BioRep1,8,3,6,EtOH
15%,BioRep1,8,4,6,EtOH
15%,BioRep1,8,5,2,EtOH
15%,BioRep1,8,6,7,EtOH
15%,BioRep1,8,7,12,EtOH
15%,BioRep1,8,8,5,EtOH
15%,BioRep1,8,9,5,EtOH
15%,BioRep1,8,10,7,EtOH
15%,BioRep1,8,11,7,EtOH
15%,BioRep1,8,12,6,EtOH
15%,BioRep1,9,1,0,EtOH
15%,BioRep1,9,2,3,EtOH
15%,BioRep1,9,3,9,EtOH
15%,BioRep1,9,4,4,EtOH
15%,BioRep1,9,5,2,EtOH
15%,BioRep1,9,6,1,EtOH
15%,BioRep1,9,7,0,EtOH
15%,BioRep1,9,8,2,EtOH
15%,BioRep1,9,9,3,EtOH
15%,BioRep1,9,10,2,EtOH
15%,BioRep1,9,11,0,EtOH
15%,BioRep1,9,12,5,EtOH
15%,BioRep1,9,13,5,EtOH
15%,BioRep1,9,14,3,EtOH
15%,BioRep1,9,15,1,EtOH
15%,BioRep1,9,16,3,EtOH
15%,BioRep1,9,17,6,EtOH
15%,BioRep1,10,1,5,EtOH
15%,BioRep1,10,2,1,EtOH
15%,BioRep1,10,3,1,EtOH
15%,BioRep1,10,4,1,EtOH
15%,BioRep1,10,5,4,EtOH
15%,BioRep1,10,6,4,EtOH
15%,BioRep1,10,7,1,EtOH
15%,BioRep1,10,8,2,EtOH
15%,BioRep1,10,9,3,EtOH
15%,BioRep1,10,10,2,EtOH
15%,BioRep1,10,11,2,EtOH
15%,BioRep1,10,12,3,EtOH
15%,BioRep1,10,13,4,EtOH
15%,BioRep1,11,1,1,EtOH
15%,BioRep1,11,2,4,EtOH
15%,BioRep1,11,3,1,EtOH
15%,BioRep1,11,4,7,EtOH
15%,BioRep1,11,5,5,EtOH
15%,BioRep1,11,6,9,EtOH
15%,BioRep1,11,7,0,EtOH
15%,BioRep1,11,8,1,EtOH
15%,BioRep1,11,9,4,EtOH
15%,BioRep1,11,10,4,EtOH
15%,BioRep1,11,11,2,EtOH
15%,BioRep1,11,12,3,EtOH
15%,BioRep1,11,13,2,EtOH
15%,BioRep1,11,14,5,EtOH
15%,BioRep1,11,15,3,EtOH
15%,BioRep1,11,16,10,EtOH
15%,BioRep1,11,17,3,EtOH
15%,BioRep1,11,18,5,EtOH
15%,BioRep1,11,19,1,EtOH
15%,BioRep1,12,1,2,EtOH
15%,BioRep1,12,2,7,EtOH
15%,BioRep1,12,3,4,EtOH
15%,BioRep1,12,4,0,EtOH
15%,BioRep1,12,5,2,EtOH
15%,BioRep1,12,6,5,EtOH
15%,BioRep1,12,7,7,EtOH
15%,BioRep1,12,8,0,EtOH
15%,BioRep1,12,9,7,EtOH
15%,BioRep1,12,10,2,EtOH
15%,BioRep1,12,11,3,EtOH
15%,BioRep1,12,12,2,EtOH
15%,BioRep1,12,13,4,EtOH
15%,BioRep1,13,1,16,EtOH
15%,BioRep1,13,2,4,EtOH
15%,BioRep1,13,3,3,EtOH
15%,BioRep1,13,4,6,EtOH
15%,BioRep1,13,5,2,EtOH
15%,BioRep1,13,6,3,EtOH
15%,BioRep1,13,7,6,EtOH
15%,BioRep1,13,8,3,EtOH
15%,BioRep1,13,9,3,EtOH
15%,BioRep1,13,10,8,EtOH
15%,BioRep1,13,11,3,EtOH
15%,BioRep1,13,12,3,EtOH
15%,BioRep1,13,13,1,EtOH
15%,BioRep1,13,14,3,EtOH
15%,BioRep1,13,15,5,EtOH
15%,BioRep1,13,16,2,EtOH
15%,BioRep1,13,17,1,EtOH
15%,BioRep1,13,18,1,EtOH
15%,BioRep1,13,19,1,EtOH
15%,BioRep1,13,20,2,EtOH
15%,BioRep1,13,21,2,EtOH
15%,BioRep1,14,1,1,EtOH
15%,BioRep1,14,2,0,EtOH
15%,BioRep1,14,3,1,EtOH
15%,BioRep1,14,4,3,EtOH
15%,BioRep1,14,5,4,EtOH
15%,BioRep1,14,6,2,EtOH
15%,BioRep1,14,7,1,EtOH
15%,BioRep1,14,8,1,EtOH
15%,BioRep1,14,9,0,EtOH
15%,BioRep1,14,10,4,EtOH
15%,BioRep1,14,11,1,EtOH
15%,BioRep1,14,12,4,EtOH
15%,BioRep1,14,13,2,EtOH
15%,BioRep1,14,14,0,EtOH
15%,BioRep1,14,15,3,EtOH
15%,BioRep1,14,16,3,EtOH
15%,BioRep1,14,17,3,EtOH
15%,BioRep1,14,18,0,EtOH
15%,BioRep1,14,19,1,EtOH
15%,BioRep1,14,20,2,EtOH
15%,BioRep1,15,1,0,EtOH
15%,BioRep1,15,2,0,EtOH
15%,BioRep1,15,3,0,EtOH
15%,BioRep1,15,4,0,EtOH
15%,BioRep1,15,5,0,EtOH
15%,BioRep1,15,6,0,EtOH
15%,BioRep1,15,7,0,EtOH
15%,BioRep1,15,8,1,EtOH
15%,BioRep1,15,9,0,EtOH
15%,BioRep1,15,10,0,EtOH
15%,BioRep1,15,11,0,EtOH
15%,BioRep1,15,12,0,EtOH
15%,BioRep1,15,13,0,EtOH
15%,BioRep1,15,14,0,EtOH
15%,BioRep1,15,15,0,EtOH
15%,BioRep1,15,16,0,EtOH
15%,BioRep1,16,1,0,EtOH
15%,BioRep1,16,2,0,EtOH
15%,BioRep1,16,3,0,EtOH
15%,BioRep1,16,4,0,EtOH
15%,BioRep1,16,5,0,EtOH
15%,BioRep1,16,6,0,EtOH
15%,BioRep1,16,7,0,EtOH
15%,BioRep1,16,8,2,EtOH
15%,BioRep1,16,9,0,EtOH
15%,BioRep1,16,10,0,EtOH
15%,BioRep1,16,11,0,EtOH
15%,BioRep1,16,12,0,EtOH
15%,BioRep1,16,13,1,EtOH
15%,BioRep1,16,14,0,EtOH
15%,BioRep1,16,15,1,EtOH
15%,BioRep1,16,16,0,EtOH
15%,BioRep1,16,17,0,EtOH
15%,BioRep1,16,18,0,EtOH
15%,BioRep1,17,1,2,EtOH
15%,BioRep1,17,2,4,EtOH
15%,BioRep1,17,3,7,EtOH
15%,BioRep1,17,4,4,EtOH
15%,BioRep1,17,5,4,EtOH
15%,BioRep1,17,6,5,EtOH
15%,BioRep1,17,7,3,EtOH
15%,BioRep1,17,8,3,EtOH
15%,BioRep1,17,9,3,EtOH
15%,BioRep1,17,10,7,EtOH
15%,BioRep1,17,11,0,EtOH
15%,BioRep1,17,12,9,EtOH
15%,BioRep1,17,13,6,EtOH
15%,BioRep1,18,1,1,EtOH
15%,BioRep1,18,2,2,EtOH
15%,BioRep1,18,3,5,EtOH
15%,BioRep1,18,4,2,EtOH
15%,BioRep1,18,5,2,EtOH
15%,BioRep1,18,6,15,EtOH
15%,BioRep1,18,7,3,EtOH
15%,BioRep1,18,8,2,EtOH
15%,BioRep1,18,9,7,EtOH
15%,BioRep1,18,10,3,EtOH
15%,BioRep1,18,11,5,EtOH
15%,BioRep1,18,12,3,EtOH
15%,BioRep1,18,13,2,EtOH
15%,BioRep1,19,1,2,EtOH
15%,BioRep1,19,2,2,EtOH
15%,BioRep1,19,3,3,EtOH
15%,BioRep1,19,4,0,EtOH
15%,BioRep1,19,5,3,EtOH
15%,BioRep1,19,6,2,EtOH
15%,BioRep1,19,7,2,EtOH
15%,BioRep1,19,8,1,EtOH
15%,BioRep1,19,9,0,EtOH
15%,BioRep1,19,10,1,EtOH
15%,BioRep1,19,11,3,EtOH
15%,BioRep1,19,12,2,EtOH
15%,BioRep1,19,13,6,EtOH
15%,BioRep1,19,14,2,EtOH
15%,BioRep1,19,15,0,EtOH
15%,BioRep1,20,1,2,EtOH
15%,BioRep1,20,2,1,EtOH
15%,BioRep1,20,3,1,EtOH
15%,BioRep1,20,4,1,EtOH
15%,BioRep1,20,5,0,EtOH
15%,BioRep1,20,6,2,EtOH
15%,BioRep1,20,7,1,EtOH
15%,BioRep1,20,8,1,EtOH
15%,BioRep1,20,9,6,EtOH
15%,BioRep1,20,10,0,EtOH
15%,BioRep1,20,11,7,EtOH
15%,BioRep1,20,12,2,EtOH
15%,BioRep1,20,13,0,EtOH
15%,BioRep1,20,14,2,EtOH
15%,BioRep1,20,15,2,EtOH
15%,BioRep1,20,16,0,EtOH
15%,BioRep1,20,17,1,EtOH
15%,BioRep1,20,18,1,EtOH
15%,BioRep1,20,19,1,EtOH
15%,BioRep1,21,1,0,EtOH
15%,BioRep1,21,2,0,EtOH
15%,BioRep1,21,3,2,EtOH
15%,BioRep1,21,4,1,EtOH
15%,BioRep1,21,5,0,EtOH
15%,BioRep1,21,6,0,EtOH
15%,BioRep1,21,7,5,EtOH
15%,BioRep1,21,8,0,EtOH
15%,BioRep1,21,9,1,EtOH
15%,BioRep1,21,10,2,EtOH
15%,BioRep1,21,11,0,EtOH
15%,BioRep1,21,12,8,EtOH
15%,BioRep1,21,13,0,EtOH
15%,BioRep1,21,14,0,EtOH
15%,BioRep1,21,15,1,EtOH
15%,BioRep1,21,16,8,EtOH
15%,BioRep1,21,17,1,EtOH
15%,BioRep1,21,18,1,EtOH
15%,BioRep1,21,19,3,EtOH
15%,BioRep1,21,20,0,EtOH
15%,BioRep1,21,21,0,EtOH
15%,BioRep1,22,1,0,EtOH
15%,BioRep1,22,2,4,EtOH
15%,BioRep1,22,3,0,EtOH
15%,BioRep1,22,4,4,EtOH
15%,BioRep1,22,5,5,EtOH
15%,BioRep1,22,6,4,EtOH
15%,BioRep1,22,7,2,EtOH
15%,BioRep1,22,8,3,EtOH
15%,BioRep1,22,9,3,EtOH
15%,BioRep1,22,10,0,EtOH
15%,BioRep1,22,11,1,EtOH
15%,BioRep1,22,12,3,EtOH
15%,BioRep1,23,1,2,EtOH
15%,BioRep1,23,2,2,EtOH
15%,BioRep1,23,3,0,EtOH
15%,BioRep1,23,4,1,EtOH
15%,BioRep1,23,5,3,EtOH
15%,BioRep1,23,6,6,EtOH
15%,BioRep1,23,7,2,EtOH
15%,BioRep1,23,8,3,EtOH
15%,BioRep1,23,9,2,EtOH
15%,BioRep1,23,10,4,EtOH
15%,BioRep1,23,11,2,EtOH
15%,BioRep1,23,12,7,EtOH
15%,BioRep1,23,13,1,EtOH
15%,BioRep1,23,14,0,EtOH
15%,BioRep1,23,15,1,EtOH
15%,BioRep1,23,16,1,EtOH
15%,BioRep1,23,17,1,EtOH
15%,BioRep1,23,18,1,EtOH
15%,BioRep1,23,19,4,EtOH
15%,BioRep1,23,20,1,EtOH
15%,BioRep1,23,21,3,EtOH
15%,BioRep1,23,22,4,EtOH
15%,BioRep1,23,23,3,EtOH
15%,BioRep1,23,24,1,EtOH
15%,BioRep1,23,25,2,EtOH
15%,BioRep1,24,1,1,EtOH
15%,BioRep1,24,2,1,EtOH
15%,BioRep1,24,3,5,EtOH
15%,BioRep1,24,4,0,EtOH
15%,BioRep1,24,5,4,EtOH
15%,BioRep1,24,6,3,EtOH
15%,BioRep1,24,7,1,EtOH
15%,BioRep1,24,8,2,EtOH
15%,BioRep1,24,9,4,EtOH
15%,BioRep1,24,10,0,EtOH
15%,BioRep1,24,11,8,EtOH
15%,BioRep1,24,12,1,EtOH
15%,BioRep1,24,13,2,EtOH
15%,BioRep1,24,14,4,EtOH
15%,BioRep1,24,15,4,EtOH
15%,BioRep1,24,16,1,EtOH
15%,BioRep1,24,17,2,EtOH
15%,BioRep1,24,18,8,EtOH
15%,BioRep1,24,19,2,EtOH
15%,BioRep1,24,20,0,EtOH
15%,BioRep1,24,21,5,EtOH
15%,BioRep1,24,22,2,EtOH
15%,BioRep1,25,1,1,EtOH
15%,BioRep1,25,2,1,EtOH
15%,BioRep1,25,3,0,EtOH
15%,BioRep1,25,4,3,EtOH
15%,BioRep1,25,5,0,EtOH
15%,BioRep1,25,6,7,EtOH
15%,BioRep1,25,7,0,EtOH
15%,BioRep1,25,8,4,EtOH
15%,BioRep1,25,9,3,EtOH
15%,BioRep1,25,10,3,EtOH
15%,BioRep1,25,11,4,EtOH
15%,BioRep1,25,12,1,EtOH
15%,BioRep1,25,13,6,EtOH
15%,BioRep1,25,14,0,EtOH
15%,BioRep1,25,15,4,EtOH
15%,BioRep1,25,16,4,EtOH
15%,BioRep1,25,17,4,EtOH
15%,BioRep1,25,18,4,EtOH
15%,BioRep1,25,19,3,EtOH
15%,BioRep1,25,20,3,EtOH
15%,BioRep1,25,21,0,EtOH
15%,BioRep1,25,22,4,EtOH
15%,BioRep1,25,23,2,EtOH
15%,BioRep1,25,24,7,EtOH
15%,BioRep1,26,1,0,EtOH
15%,BioRep1,26,2,5,EtOH
15%,BioRep1,26,3,1,EtOH
15%,BioRep1,26,4,2,EtOH
15%,BioRep1,26,5,4,EtOH
15%,BioRep1,26,6,2,EtOH
15%,BioRep1,26,7,1,EtOH
15%,BioRep1,26,8,4,EtOH
15%,BioRep1,26,9,5,EtOH
15%,BioRep1,26,10,1,EtOH
15%,BioRep1,26,11,0,EtOH
15%,BioRep1,26,12,0,EtOH
15%,BioRep1,26,13,4,EtOH
15%,BioRep1,26,14,1,EtOH
15%,BioRep1,26,15,4,EtOH
15%,BioRep1,26,16,2,EtOH
15%,BioRep1,26,17,4,EtOH
15%,BioRep1,26,18,0,EtOH
15%,BioRep1,26,19,0,EtOH
15%,BioRep1,26,20,2,EtOH
15%,BioRep1,26,21,6,EtOH
15%,BioRep1,26,22,1,EtOH
15%,BioRep1,26,23,1,EtOH
15%,BioRep1,26,24,2,EtOH
15%,BioRep1,27,1,1,EtOH
15%,BioRep1,27,2,1,EtOH
15%,BioRep1,27,3,2,EtOH
15%,BioRep1,27,4,1,EtOH
15%,BioRep1,27,5,2,EtOH
15%,BioRep1,27,6,2,EtOH
15%,BioRep1,27,7,3,EtOH
15%,BioRep1,27,8,5,EtOH
15%,BioRep1,27,9,0,EtOH
15%,BioRep1,27,10,0,EtOH
15%,BioRep1,27,11,2,EtOH
15%,BioRep1,27,12,11,EtOH
15%,BioRep1,27,13,1,EtOH
15%,BioRep1,27,14,4,EtOH
15%,BioRep1,27,15,5,EtOH
15%,BioRep1,27,16,4,EtOH
15%,BioRep1,27,17,3,EtOH
15%,BioRep1,27,18,0,EtOH
15%,BioRep1,27,19,1,EtOH
15%,BioRep1,27,20,0,EtOH
15%,BioRep1,27,21,3,EtOH
15%,BioRep1,27,22,0,EtOH
15%,BioRep1,27,23,0,EtOH
15%,BioRep1,27,24,0,EtOH
15%,BioRep1,28,1,1,EtOH
15%,BioRep1,28,2,2,EtOH
15%,BioRep1,28,3,1,EtOH
15%,BioRep1,28,4,1,EtOH
15%,BioRep1,28,5,2,EtOH
15%,BioRep1,28,6,4,EtOH
15%,BioRep1,28,7,2,EtOH
15%,BioRep1,28,8,2,EtOH
15%,BioRep1,28,9,2,EtOH
15%,BioRep1,28,10,5,EtOH
15%,BioRep1,28,11,3,EtOH
15%,BioRep1,28,12,2,EtOH
15%,BioRep1,28,13,2,EtOH
15%,BioRep1,28,14,1,EtOH
15%,BioRep1,29,1,3,EtOH
15%,BioRep1,29,2,0,EtOH
15%,BioRep1,29,3,2,EtOH
15%,BioRep1,29,4,4,EtOH
15%,BioRep1,29,5,2,EtOH
15%,BioRep1,29,6,4,EtOH
15%,BioRep1,29,7,3,EtOH
15%,BioRep1,29,8,1,EtOH
15%,BioRep1,29,9,0,EtOH
15%,BioRep1,29,10,1,EtOH
15%,BioRep1,29,11,1,EtOH
15%,BioRep1,29,12,1,EtOH
15%,BioRep1,29,13,2,EtOH
15%,BioRep1,30,1,2,EtOH
15%,BioRep1,30,2,1,EtOH
15%,BioRep1,30,3,8,EtOH
15%,BioRep1,30,4,9,EtOH
15%,BioRep1,30,5,3,EtOH
15%,BioRep1,30,6,1,EtOH
15%,BioRep1,30,7,4,EtOH
15%,BioRep1,30,8,2,EtOH
15%,BioRep1,30,9,6,EtOH
15%,BioRep1,30,10,1,EtOH
15%,BioRep1,30,11,5,EtOH
15%,BioRep1,30,12,0,EtOH
15%,BioRep1,30,13,1,EtOH
15%,BioRep1,30,14,1,EtOH
15%,BioRep1,30,15,0,EtOH
15%,BioRep1,30,16,2,EtOH
15%,BioRep1,30,17,2,EtOH
15%,BioRep1,30,18,2,EtOH
15%,BioRep1,30,19,0,EtOH
15%,BioRep1,30,20,0,EtOH
15%,BioRep1,30,21,1,EtOH
15%,BioRep1,30,22,2,EtOH
15%,BioRep1,30,23,2,EtOH
15%,BioRep1,31,1,2,EtOH
15%,BioRep1,31,2,2,EtOH
15%,BioRep1,31,3,1,EtOH
15%,BioRep1,31,4,0,EtOH
15%,BioRep1,31,5,2,EtOH
15%,BioRep1,31,6,0,EtOH
15%,BioRep1,31,7,0,EtOH
15%,BioRep1,31,8,2,EtOH
15%,BioRep1,31,9,1,EtOH
15%,BioRep1,31,10,10,EtOH
15%,BioRep1,31,11,2,EtOH
15%,BioRep1,31,12,2,EtOH
15%,BioRep1,31,13,3,EtOH
15%,BioRep1,31,14,6,EtOH
15%,BioRep1,32,1,5,EtOH
15%,BioRep1,32,2,7,EtOH
15%,BioRep1,32,3,3,EtOH
15%,BioRep1,32,4,0,EtOH
15%,BioRep1,32,5,8,EtOH
15%,BioRep1,32,6,1,EtOH
15%,BioRep1,32,7,3,EtOH
15%,BioRep1,32,8,3,EtOH
15%,BioRep1,32,9,3,EtOH
15%,BioRep1,32,10,9,EtOH
15%,BioRep1,32,11,2,EtOH
15%,BioRep1,32,12,0,EtOH
15%,BioRep1,32,13,2,EtOH
15%,BioRep1,32,14,4,EtOH
15%,BioRep1,32,15,1,EtOH
15%,BioRep1,32,16,3,EtOH
15%,BioRep1,33,1,3,EtOH
15%,BioRep1,33,2,0,EtOH
15%,BioRep1,33,3,5,EtOH
15%,BioRep1,33,4,1,EtOH
15%,BioRep1,33,5,1,EtOH
15%,BioRep1,33,6,1,EtOH
15%,BioRep1,33,7,0,EtOH
15%,BioRep1,33,8,3,EtOH
15%,BioRep1,34,1,1,EtOH
15%,BioRep1,34,2,4,EtOH
15%,BioRep1,34,3,7,EtOH
15%,BioRep1,34,4,2,EtOH
15%,BioRep1,34,5,9,EtOH
15%,BioRep1,34,6,6,EtOH
15%,BioRep1,34,7,4,EtOH
15%,BioRep1,34,8,10,EtOH
15%,BioRep1,34,9,1,EtOH
15%,BioRep1,34,10,11,EtOH
15%,BioRep1,35,1,2,EtOH
15%,BioRep1,35,2,1,EtOH
15%,BioRep1,35,3,4,EtOH
15%,BioRep1,35,4,2,EtOH
15%,BioRep1,35,5,1,EtOH
15%,BioRep1,35,6,7,EtOH
15%,BioRep1,35,7,8,EtOH
15%,BioRep1,35,8,1,EtOH
15%,BioRep1,35,9,8,EtOH
15%,BioRep1,35,10,6,EtOH
15%,BioRep1,35,11,5,EtOH
15%,BioRep1,35,12,0,EtOH
15%,BioRep1,35,13,6,EtOH
15%,BioRep1,35,14,2,EtOH
15%,BioRep1,35,15,1,EtOH
15%,BioRep1,36,1,0,EtOH
15%,BioRep1,36,2,1,EtOH
15%,BioRep1,36,3,2,EtOH
15%,BioRep1,36,4,3,EtOH
15%,BioRep1,36,5,3,EtOH
15%,BioRep1,36,6,6,EtOH
15%,BioRep1,36,7,4,EtOH
15%,BioRep1,36,8,0,EtOH
15%,BioRep1,36,9,1,EtOH
15%,BioRep1,36,10,3,EtOH
15%,BioRep1,36,11,6,EtOH
15%,BioRep1,36,12,4,EtOH
15%,BioRep1,36,13,1,EtOH
15%,BioRep1,36,14,1,EtOH
15%,BioRep1,37,1,0,EtOH
15%,BioRep1,37,2,4,EtOH
15%,BioRep1,37,3,1,EtOH
15%,BioRep1,37,4,1,EtOH
15%,BioRep1,38,1,1,EtOH
15%,BioRep1,38,2,3,EtOH
15%,BioRep1,38,3,2,EtOH
15%,BioRep1,38,4,2,EtOH
15%,BioRep1,38,5,2,EtOH
15%,BioRep1,38,6,2,EtOH
15%,BioRep1,39,1,2,EtOH
15%,BioRep1,39,2,5,EtOH
15%,BioRep1,39,3,2,EtOH
15%,BioRep1,39,4,3,EtOH
15%,BioRep1,39,5,4,EtOH
15%,BioRep1,39,6,5,EtOH
15%,BioRep1,39,7,3,EtOH
15%,BioRep1,39,8,3,EtOH
15%,BioRep1,39,9,8,EtOH
15%,BioRep1,39,10,0,EtOH
15%,BioRep1,39,11,4,EtOH
15%,BioRep1,39,12,1,EtOH
15%,BioRep1,39,13,1,EtOH
15%,BioRep1,39,14,1,EtOH
